HS,AS,HST,AST,HC,AC,HF,AF,B365H,B365D,B365A,tend_ptsH,tend_ptsA,tend_goalsH,tend_goalsA,tend_HS,tend_AS,tend_HST,tend_AST,tend_HC,tend_AC,tend_HF,tend_AF,res,dif_puntos,dif_goles,dif_shots,dif_targets,dif_corners
18,14,8,6,6,4,9,7,4.75,4.33,1.64,9.0,7.0,10.0,5.0,45.0,29.0,17.0,7.0,15.0,14.0,35.0,42.0,0,-2.0,-5.0,-16.0,-10.0,-1.0
22,24,6,7,7,9,8,8,2.5,3.5,2.75,4.0,4.0,5.0,4.0,36.0,39.0,16.0,12.0,11.0,15.0,32.0,20.0,0,0.0,-1.0,3.0,-4.0,4.0
13,16,3,6,4,7,12,9,10.0,5.5,1.28,6.0,5.0,7.0,6.0,44.0,40.0,19.0,21.0,15.0,14.0,46.0,39.0,1,-1.0,-1.0,-4.0,2.0,-1.0
13,5,4,0,4,3,19,13,2.14,3.1,3.75,2.0,9.0,3.0,6.0,25.0,51.0,12.0,15.0,6.0,16.0,40.0,31.0,-1,7.0,3.0,26.0,3.0,10.0
13,11,5,3,8,3,9,13,1.22,6.0,15.0,6.0,5.0,8.0,4.0,46.0,44.0,15.0,17.0,15.0,18.0,21.0,52.0,-1,-1.0,-4.0,-2.0,2.0,3.0
21,2,4,1,12,1,11,18,1.83,3.39,4.75,5.0,0.0,3.0,1.0,28.0,22.0,7.0,8.0,8.0,10.0,41.0,39.0,1,-5.0,-2.0,-6.0,1.0,2.0
13,5,4,3,11,6,5,9,1.66,3.75,5.5,4.0,2.0,4.0,5.0,42.0,59.0,14.0,14.0,11.0,12.0,28.0,40.0,1,-2.0,1.0,17.0,0.0,1.0
7,20,0,11,4,6,6,16,3.79,3.6,1.95,1.0,1.0,1.0,2.0,36.0,34.0,10.0,10.0,12.0,8.0,37.0,36.0,1,0.0,1.0,-2.0,0.0,-4.0
19,5,7,2,8,3,22,17,3.1,3.2,2.39,3.0,1.0,4.0,1.0,35.0,30.0,15.0,8.0,16.0,15.0,48.0,33.0,-1,-2.0,-3.0,-5.0,-7.0,-1.0
12,17,7,6,6,5,9,11,1.28,6.0,9.5,1.0,2.0,3.0,4.0,30.0,32.0,16.0,12.0,12.0,16.0,37.0,36.0,-1,1.0,1.0,2.0,-4.0,4.0
18,7,4,4,10,2,11,23,1.8,3.75,4.5,7.0,4.0,6.0,2.0,28.0,54.0,10.0,11.0,8.0,15.0,44.0,32.0,0,-3.0,-4.0,26.0,1.0,7.0
9,10,4,2,6,4,23,18,2.29,3.39,3.1,7.0,9.0,6.0,9.0,40.0,51.0,17.0,24.0,15.0,20.0,42.0,29.0,1,2.0,3.0,11.0,7.0,5.0
7,17,2,13,3,6,17,11,1.85,3.5,4.5,7.0,9.0,5.0,7.0,42.0,38.0,15.0,13.0,13.0,14.0,40.0,36.0,1,2.0,2.0,-4.0,-2.0,1.0
14,21,6,6,4,3,17,10,1.5,4.33,6.5,7.0,2.0,5.0,4.0,50.0,38.0,14.0,14.0,12.0,18.0,23.0,42.0,-1,-5.0,-1.0,-12.0,0.0,6.0
13,8,7,1,4,5,8,20,1.9,3.6,4.0,3.0,3.0,2.0,4.0,21.0,41.0,7.0,20.0,11.0,14.0,31.0,43.0,-1,0.0,2.0,20.0,13.0,3.0
30,9,8,5,11,2,12,17,1.75,3.75,4.75,1.0,2.0,3.0,2.0,31.0,32.0,12.0,8.0,9.0,11.0,39.0,45.0,0,1.0,-1.0,1.0,-4.0,2.0
11,17,4,5,4,5,19,10,1.9,3.6,4.0,5.0,5.0,3.0,5.0,43.0,38.0,10.0,16.0,13.0,19.0,35.0,40.0,-1,0.0,2.0,-5.0,6.0,6.0
12,11,6,1,5,3,14,12,1.12,9.0,21.0,1.0,2.0,3.0,2.0,52.0,26.0,11.0,8.0,10.0,9.0,36.0,24.0,-1,1.0,-1.0,-26.0,-3.0,-1.0
13,5,4,2,7,8,10,11,2.25,3.39,3.25,1.0,6.0,1.0,8.0,29.0,54.0,7.0,19.0,9.0,18.0,24.0,25.0,-1,5.0,7.0,25.0,12.0,9.0
12,16,6,6,3,10,8,12,2.2,3.39,3.29,0.0,1.0,2.0,1.0,33.0,27.0,12.0,5.0,14.0,10.0,44.0,36.0,-1,1.0,-1.0,-6.0,-7.0,-4.0
11,5,2,1,1,3,17,22,2.45,3.0,3.2,3.0,4.0,5.0,5.0,29.0,55.0,15.0,19.0,16.0,17.0,40.0,38.0,-1,1.0,0.0,26.0,4.0,1.0
14,11,6,4,7,6,16,14,2.04,3.29,3.79,4.0,5.0,3.0,3.0,60.0,48.0,20.0,13.0,21.0,11.0,44.0,18.0,-1,1.0,0.0,-12.0,-7.0,-10.0
8,7,4,4,4,0,21,9,1.95,3.5,3.75,3.0,1.0,4.0,4.0,30.0,41.0,12.0,17.0,19.0,14.0,47.0,47.0,1,-2.0,0.0,11.0,5.0,-5.0
15,10,3,2,9,7,14,15,1.22,5.75,13.0,2.0,4.0,3.0,2.0,23.0,55.0,6.0,10.0,11.0,17.0,33.0,35.0,-1,2.0,-1.0,32.0,4.0,6.0
15,7,3,0,8,1,14,10,2.37,3.39,2.87,7.0,9.0,7.0,9.0,43.0,52.0,15.0,30.0,13.0,20.0,34.0,23.0,0,2.0,2.0,9.0,15.0,7.0
13,11,3,1,3,6,17,13,3.5,3.2,2.14,4.0,0.0,2.0,0.0,32.0,26.0,8.0,2.0,13.0,10.0,48.0,24.0,-1,-4.0,-2.0,-6.0,-6.0,-3.0
8,3,1,1,5,2,14,17,3.75,3.39,2.0,4.0,3.0,4.0,2.0,44.0,26.0,14.0,7.0,16.0,15.0,31.0,38.0,1,-1.0,-2.0,-18.0,-7.0,-1.0
12,13,3,4,6,5,18,12,2.04,3.2,3.75,3.0,5.0,2.0,5.0,31.0,32.0,11.0,11.0,13.0,16.0,38.0,33.0,0,2.0,3.0,1.0,0.0,3.0
21,20,6,9,5,9,11,7,4.75,4.0,1.66,2.0,1.0,5.0,1.0,36.0,51.0,14.0,10.0,18.0,12.0,43.0,42.0,0,-1.0,-4.0,15.0,-4.0,-6.0
17,17,3,7,3,3,11,17,10.0,6.0,1.25,2.0,7.0,1.0,5.0,41.0,47.0,9.0,18.0,12.0,16.0,40.0,41.0,1,5.0,4.0,6.0,9.0,4.0
11,13,2,3,4,5,10,10,2.04,3.29,3.6,7.0,1.0,8.0,3.0,37.0,31.0,14.0,10.0,16.0,11.0,38.0,41.0,0,-6.0,-5.0,-6.0,-4.0,-5.0
12,15,5,6,5,7,13,12,1.57,3.79,6.0,9.0,7.0,10.0,5.0,48.0,38.0,26.0,15.0,16.0,13.0,37.0,31.0,0,-2.0,-5.0,-10.0,-11.0,-3.0
20,10,14,6,6,7,13,13,1.16,7.5,17.0,3.0,4.0,4.0,2.0,39.0,49.0,15.0,19.0,21.0,21.0,42.0,36.0,-1,1.0,-2.0,10.0,4.0,0.0
17,8,5,2,5,4,13,16,4.2,3.1,2.04,3.0,4.0,4.0,4.0,41.0,38.0,14.0,12.0,10.0,25.0,24.0,34.0,-1,1.0,0.0,-3.0,-2.0,15.0
9,5,3,0,4,5,16,24,1.44,4.5,7.0,2.0,5.0,3.0,3.0,33.0,38.0,12.0,14.0,10.0,22.0,38.0,39.0,0,3.0,0.0,5.0,2.0,12.0
18,10,9,3,6,5,7,14,1.16,8.0,15.0,1.0,6.0,1.0,5.0,34.0,48.0,8.0,19.0,13.0,21.0,42.0,39.0,-1,5.0,4.0,14.0,11.0,8.0
12,10,6,4,5,4,13,11,3.7,3.29,2.1,5.0,4.0,4.0,1.0,29.0,28.0,9.0,5.0,17.0,14.0,33.0,46.0,-1,-1.0,-3.0,-1.0,-4.0,-3.0
9,4,4,1,3,5,15,11,2.2,3.39,3.29,1.0,3.0,4.0,2.0,40.0,37.0,13.0,12.0,15.0,11.0,36.0,34.0,-1,2.0,-2.0,-3.0,-1.0,-4.0
8,9,2,5,7,1,13,21,1.72,3.6,5.25,2.0,1.0,2.0,0.0,45.0,27.0,10.0,5.0,16.0,15.0,38.0,33.0,1,-1.0,-2.0,-18.0,-5.0,-1.0
24,16,10,4,9,2,8,14,1.44,4.5,7.5,7.0,5.0,6.0,4.0,40.0,31.0,16.0,12.0,19.0,20.0,33.0,47.0,-1,-2.0,-2.0,-9.0,-4.0,1.0
