datetime;validation;test;activation;batch_size;factor_flag;learning_rate;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;nesterov;num_hidden_layers;optim;scaler
2023-12-19 21:42:30.630704;0,5320122241973877;;selu;64;False;0,28339456491154374;;vanilla;0,04001172757601259;18;15,0;23,0;True;3;sgd;maxabs
2023-12-19 21:43:28.197118;0,5333460569381714;;selu;64;False;0,2636633380209311;;vanilla;0,023106667154601256;17;16,0;;True;2;sgd;maxabs
2023-12-19 21:44:23.254234;0,5297256112098694;;selu;64;False;0,15520153510414084;;vanilla;0,022833580022160165;17;16,0;;True;2;sgd;maxabs
2023-12-19 21:45:19.717899;0,5316311120986938;;selu;64;False;0,35633785128706597;;vanilla;0,030484908370219332;18;20,0;;True;2;sgd;maxabs
2023-12-19 21:46:16.866850;0,5335366129875183;;selu;64;False;0,2535011856593481;;vanilla;0,03853070959826121;23;18,0;;True;2;sgd;maxabs
2023-12-19 21:47:13.260205;0,5301067233085632;;selu;32;False;0,13831652612944118;;vanilla;0,02156375856267411;23;17,0;;True;2;sgd;maxabs
2023-12-19 21:48:54.790763;0,5342987775802612;;selu;64;False;0,3033188766608657;;vanilla;0,01649982482771533;22;19,0;;True;2;sgd;maxabs
2023-12-19 21:49:51.550062;0,5257241129875183;;selu;64;False;0,4599223658177939;anova;vanilla;0,017733404691334182;25;;;True;1;sgd;normalizer
2023-12-19 21:50:46.573765;0,2522865831851959;;selu;64;True;0,6015186938352233;;dropout;0,016934367664991023;22;19,0;;True;2;sgd;maxabs
2023-12-19 21:51:43.867811;0,5335366129875183;;selu;64;False;0,3142132715461529;;vanilla;0,034051985973613044;24;19,0;;True;2;sgd;maxabs
2023-12-19 21:52:39.658572;0,5337271094322205;;selu;64;False;0,3216323464754652;;vanilla;0,026332668838539314;24;19,0;;True;2;sgd;maxabs
2023-12-19 21:53:35.573344;0,5335366129875183;;selu;64;False;0,32045239150179455;;vanilla;0,02872930729910867;25;19,0;;True;2;sgd;maxabs
2023-12-19 21:54:32.546514;0,53125;;selu;64;False;0,3859420138292428;;vanilla;0,03450156852269078;24;20,0;;True;2;sgd;maxabs
2023-12-19 21:55:29.800173;0,5280106663703918;;selu;128;False;0,31170942417039926;;vanilla;0,04213051162295434;26;18,0;;True;2;sgd;maxabs
2023-12-19 21:56:03.241521;0,5316311120986938;;selu;64;False;0,20501189978515438;;vanilla;0,026535364072414087;23;19,0;;True;2;sgd;maxabs
2023-12-19 21:57:00.925331;0,4594131112098694;;selu;64;False;0,7461129168015919;;vanilla;0,015085096265181118;22;21,0;;True;2;sgd;minmax
2023-12-19 21:58:06.630133;0,5302734375;;relu;256;False;0,4930094989638995;;vanilla;0,019900715350467755;26;;;True;1;sgd;maxabs
2023-12-19 21:58:30.934172;0,5201981663703918;;selu;64;False;0,2888942335960038;pca;vanilla;0,040253635752542885;24;20,0;;True;2;sgd;maxabs
2023-12-19 21:59:28.530208;0,5282012224197388;;selu;64;False;0,38047898044588313;;batchnorm;0,05882846518108987;21;18,0;;True;2;sgd;maxabs
2023-12-19 22:00:27.703315;0,5323932766914368;;selu;64;False;0,3376214453307635;;vanilla;0,030305707748934853;27;19,0;;True;2;sgd;maxabs
2023-12-19 22:01:23.742213;0,5331555008888245;;selu;64;False;0,2618710731711332;;vanilla;0,02757223800336363;25;19,0;;True;2;sgd;maxabs
2023-12-19 22:02:19.885405;0,5304877758026123;;selu;64;False;0,18760460661804226;;vanilla;0,03594283942333457;25;17,0;;True;2;sgd;maxabs
2023-12-19 22:03:15.092210;0,5331555008888245;;selu;64;False;0,32743913595176743;;vanilla;0,02884461032284872;23;14,0;;True;2;sgd;maxabs
2023-12-19 22:04:13.133625;0,5297256112098694;;selu;64;False;0,4212049234117662;;vanilla;0,023448990431265845;22;18,0;;True;2;sgd;maxabs
2023-12-19 22:05:09.048319;0,5337271094322205;;selu;64;False;0,24730015666421432;;vanilla;0,018470418846385808;24;19,0;;True;2;sgd;maxabs
2023-12-19 22:06:04.417617;0,5335366129875183;;selu;32;False;0,1694666297667646;;vanilla;0,019222252474845953;24;21,0;;True;2;sgd;maxabs
2023-12-19 22:07:46.137453;0,5316311120986938;;selu;64;False;0,20816908793248556;;vanilla;0,014869710153504356;20;;;True;1;sgd;maxabs
2023-12-19 22:08:41.535643;0,5291539430618286;;selu;64;False;0,24761716788363938;anova;vanilla;0,04360497883271571;22;20,0;;True;2;sgd;maxabs
2023-12-19 22:09:39.900421;0,4594131112098694;;leaky_relu;64;False;0,15012272646409866;;vanilla;;21;15,0;28,0;;3;adam;maxabs
2023-12-19 22:10:46.629738;0,5339176654815674;;selu;64;False;0,29600904255614646;;vanilla;0,03359279929490092;24;19,0;;True;2;sgd;maxabs
2023-12-19 22:11:43.530254;0,5341082215309143;;selu;64;False;0,27284870119623594;;vanilla;0,02388927280007221;23;18,0;;True;2;sgd;maxabs
2023-12-19 22:12:40.040336;0,5341082215309143;;selu;64;False;0,2606572035322112;;vanilla;0,02468260838645258;23;18,0;;True;2;sgd;maxabs
2023-12-19 22:13:35.496303;0,5339176654815674;;selu;64;False;0,2193574486175938;;vanilla;0,023335872086616454;21;17,0;;True;2;sgd;maxabs
2023-12-19 22:14:31.183501;0,5215319991111755;;selu;64;False;0,2161661368624193;;vanilla;0,02384039718536944;21;16,0;;True;2;sgd;normalizer
2023-12-19 22:15:29.990742;0,2522865831851959;;selu;64;True;0,18293200079659175;;dropout;0,020904713860978134;19;17,0;;True;2;sgd;maxabs
2023-12-19 22:16:27.355922;0,5346798896789551;;selu;64;False;0,28391687302392393;;vanilla;0,01810801129652299;23;12,0;;True;2;sgd;maxabs
2023-12-19 22:17:24.244076;0,5283917784690857;;selu;128;False;0,3641846209446914;;vanilla;0,017792833678485387;23;10,0;;True;2;sgd;maxabs
2023-12-19 22:17:58.513922;0,53125;;selu;64;False;0,4506548501575708;;vanilla;0,01610980768496677;27;12,0;;True;2;sgd;minmax
2023-12-19 22:18:53.236064;0,5314405560493469;;relu;64;False;0,5467087982890269;;vanilla;0,01935213644332833;24;18,0;;True;2;sgd;maxabs
