datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;lr;n_a;n_d;n_independent;n_shared;n_steps
2023-12-23 03:45:28.982299;0,5110035211267606;;512;0,7128280850535297;1,1075729229511384;0,23537659805249178;37;19;3;3;4
2023-12-23 03:49:44.521189;0,5176056338028169;;512;0,6945631390153616;1,137407579219668;0,14160057108012597;34;20;3;3;3
2023-12-23 03:51:49.511451;0,5204665492957746;;512;0,7180207976262181;1,1556157287456241;0,10374168327961795;43;22;3;3;3
2023-12-23 03:54:05.198565;0,5202464788732394;;512;0,4369626798681416;1,2021952237390712;0,11366664442698304;48;23;2;3;3
2023-12-23 03:56:53.312228;0,5138644366197183;;512;0,6774201561454524;1,2045485472047284;0,11958148444198807;46;22;2;1;3
2023-12-23 03:58:38.817308;0,5202464788732394;;512;0,44227923103898414;1,1712964248958808;0,09939786184161134;48;18;2;2;3
2023-12-23 04:01:28.459930;0,5206866197183099;;512;0,6377123588022251;1,2362929402308684;0,10317953681171615;48;18;2;2;3
2023-12-23 04:04:17.413392;0,515625;;512;0,6496484280979775;1,2210172718107724;0,10261004347947257;49;18;2;2;3
2023-12-23 04:06:15.911928;0,511443661971831;;512;0,6291939764344644;1,1604537156413295;0,09469569775583155;51;18;2;2;6
2023-12-23 04:10:05.614489;0,5180457746478874;;512;0,5861639227358302;1,2364370945298087;0,12104771769316192;44;16;2;2;3
2023-12-23 04:11:59.134690;0,5162852112676056;;512;0,6698251236137588;1,1972426931356537;0,10715156747820016;47;11;2;2;3
2023-12-23 04:15:04.249853;0,5191461267605634;;512;0,6614435979408582;1,2722786637487769;0,08968333790492508;49;23;2;2;3
2023-12-23 04:19:04.989469;0,5151848591549296;;512;0,4368079612146936;1,177890188873666;0,12775597407768483;46;19;2;2;3
2023-12-23 04:20:57.261396;0,514524647887324;;512;0,6055984264858425;1,2151592867749161;0,14355068466743234;54;17;2;2;3
2023-12-23 04:23:35.435913;0,5178257042253521;;512;0,6340515768644325;1,16530842253597;0,09761191853925993;48;45;2;2;3
2023-12-23 04:25:52.703335;0,5165052816901409;;512;0,7373813640135342;1,251207946642929;0,10984688529793982;52;36;2;2;3
2023-12-23 04:27:48.474008;0,516725352112676;;512;0,7092601140893162;1,1505068993843985;0,07262573100253682;48;21;2;1;3
2023-12-23 04:30:48.887799;0,5178257042253521;;512;0,44224539881940916;1,18647651116182;0,12719838876762357;42;52;2;2;3
