datetime;validation;test;activation;b1;b2;batch_size;dims;dropout;factor_flag;learning_rate;method;mode;n_units_l1;num_hidden_layers;optim;scaler
2023-12-20 01:30:10.871160;0,3470982015132904;;leaky_relu;0,5794241838137264;0,8608535876192878;256;31,0;0,2747557711065438;True;0,014566955383926558;anova;dropout;17;1;adam;normalizer
2023-12-20 01:30:50.714392;0,4741908609867096;;leaky_relu;0,41839332872066354;0,7839168686736364;256;33,0;0,24529254663108124;False;0,010624880736830284;anova;dropout;18;1;adam;normalizer
2023-12-20 01:32:07.222995;0,4535435140132904;;relu;0,46898837061426246;0,7098759125986971;128;;0,26671943117738506;False;0,02475840539317124;;dropout;20;1;adam;normalizer
2023-12-20 01:33:06.068915;0,462890625;;selu;0,6918616262516406;0,6623471372937397;256;36,0;0,37613769373896244;False;0,00760771399405388;anova;dropout;19;1;adam;minmax
2023-12-20 01:33:35.520315;0,4729352593421936;;leaky_relu;0,5230345221410377;0,6239601878533155;256;30,0;0,24365936227604384;False;0,031281245513051226;anova;dropout;16;1;adam;normalizer
2023-12-20 01:34:15.501276;0,4734933078289032;;leaky_relu;0,5550204904346687;0,7353344280294198;256;38,0;0,317908211815533;False;0,016873165760560607;anova;dropout;18;1;adam;minmax
2023-12-20 01:35:15.311066;0,45703125;;leaky_relu;0,48968797633996625;0,7650902818428095;256;28,0;0,2907398157282327;False;0,02125173732174304;anova;dropout;14;1;adam;normalizer
2023-12-20 01:36:12.406668;0,4743303656578064;;leaky_relu;0,4534649450868208;0,8185819401057984;256;24,0;0,26943973121909676;False;0,01226461285249881;anova;dropout;15;1;adam;normalizer
2023-12-20 01:36:49.253806;0,4732142984867096;;leaky_relu;0,6163102969452834;0,6967856932439629;256;31,0;0,2882471895318173;False;0,01431738590991406;anova;dropout;13;1;adam;normalizer
2023-12-20 01:37:41.682043;0,421875;;leaky_relu;0,49390899367345753;0,7673737292863135;256;29,0;0,3333191680765082;False;0,009203294723254905;anova;dropout;17;1;adam;normalizer
2023-12-20 01:38:12.516368;0,4727957546710968;;relu;0,5703802108058479;0,8427444154024362;256;26,0;0,3169104774865555;False;0,018567980389519623;anova;dropout;14;1;adam;normalizer
