version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
128;2024-01-17 06:15:31.088776;0,520971721389258;;8192;0,5799709148483096;1,4154199990983838;2631;17667;5269;0,04328148186644752;entmax;14;17;2;2;4;0,2487195776479075
129;2024-01-17 06:20:43.365101;0,5308407667489087;;512;0,4836682623217713;1,4774597106406266;2631;17667;5269;0,05496955958151153;entmax;13;28;3;3;3;0,20606534554413966
130;2024-01-17 06:26:56.662108;0,5276143480736383;;512;0,4998141809089236;1,485620126955451;2631;17667;5269;0,039004604161765724;entmax;18;10;3;4;7;0,2064804689462194
131;2024-01-17 06:42:13.999118;0,5304611880812299;;512;0,4700258383315202;1,459729843239962;2631;17667;5269;0,05638816536567603;entmax;13;31;3;3;3;0,21602011661936288
132;2024-01-17 06:49:09.993748;0,528373505408996;;512;0,48017346777014236;1,448620034922484;2631;17667;5269;0,0631750876933061;entmax;13;30;3;3;3;0,21592905729354134
133;2024-01-17 06:55:07.127241;0,5340671854241792;0,4944887875332573;512;0,5110357332931045;1,4672635449847176;2631;17667;5269;0,0561369771789317;entmax;15;33;3;3;8;0,21042477147809235
134;2024-01-17 07:16:12.368595;0,5241981400645284;;512;0,5093294002147686;1,4753491982030857;2631;17667;5269;0,04830726788453795;entmax;12;34;3;3;8;0,20497682237159448
135;2024-01-17 07:30:05.299554;0,5278041374074777;;512;0,5411929119333849;1,5447461271485297;2631;17667;5269;0,08001751029010337;entmax;16;27;3;3;8;0,2272269769788222
136;2024-01-17 07:42:38.733443;0,5297020307458721;;512;0,431689466269136;1,3926759704770002;2631;17667;5269;0,03783455810872276;entmax;17;24;3;2;9;0,21216357880331868
137;2024-01-17 08:00:09.841713;0,525336876067565;;512;0,5300967980286287;1,2402424597105315;2631;17667;5269;0,05096968422755107;entmax;14;40;2;3;8;0,22314569962069025
138;2024-01-17 08:19:37.691033;0,5295122414120327;;512;0,5052658543887829;1,4180367395419853;2631;17667;5269;0,044011127101446675;entmax;13;10;2;3;10;0,4557882687949691
139;2024-01-17 08:33:22.668625;0,5164167773771114;;4096;0,5497337962838151;1,4387428899316264;2631;17667;5269;0,006534768387513204;entmax;15;24;3;3;6;0,20036352600977103
140;2024-01-17 08:44:21.125760;0,5278041374074777;;512;0,5773864560253743;1,2043074741888593;2631;17667;5269;0,03355805915913369;entmax;11;8;2;1;5;0,23595133992518158
141;2024-01-17 08:51:52.458330;0,5302713987473904;;512;0,4858888819603054;1,465077234755727;2631;17667;5269;0,05824207204621139;entmax;13;33;3;3;3;0,21068949702239848
142;2024-01-17 08:56:50.444912;0,5268551907382805;;512;0,4581529308911412;1,4965133665738668;2631;17667;5269;0,055433856370369655;entmax;14;29;3;3;3;0,21758292797302797
143;2024-01-17 09:05:17.378456;0,5329284494211425;;512;0,5218319192350431;1,3986832375067182;2631;17667;5269;0,06587527623376897;entmax;12;35;3;3;3;0,22962631418545537
144;2024-01-17 09:10:37.930908;0,5278041374074777;;512;0,521168292995218;1,3900358727587572;2631;17667;5269;0,08501063996846413;entmax;12;35;3;3;3;0,22979441238007084
145;2024-01-17 09:15:14.824139;0,5291326627443538;;512;0,5446021250616491;1,4036842445875033;2631;17667;5269;0,07454000252969763;entmax;12;27;3;3;3;0,23838309063333019
146;2024-01-17 09:20:48.460141;0,5257164547352439;;512;0,49509401252284346;1,431771738033755;2631;17667;5269;0,06765525189422972;entmax;21;36;3;2;8;0,2237659346773163
