matchId;Div;season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;pagerank_750D_H;pagerank_750D_A
197;D1;T00-01;2001-02-18;Stuttgart;Hertha;0;1;A;0,3842851830712391;0,580962653929967
226;D1;T00-01;2001-03-17;Munich 1860;Bayern Munich;0;2;A;0,4335491494920686;0,9836313243438164
177;D1;T00-01;2001-02-03;Wolfsburg;Bayern Munich;1;3;A;0,6568454247304567;0,9836313243438164
209;D1;T00-01;2001-03-03;Hansa Rostock;Bayern Munich;3;2;H;0,4301093691003562;0,9836313243438164
193;D1;T00-01;2001-02-17;Unterhaching;Bayern Munich;1;0;H;0,6573526917588777;0,9836313243438164
234;D1;T00-01;2001-03-30;Wolfsburg;Hansa Rostock;2;1;H;0,5947797776936483;0,6226134224621585
277;D1;T00-01;2001-04-29;Hamburg;Hansa Rostock;2;1;H;0,5774471309665701;0,6226134224621585
305;D1;T00-01;2001-05-19;Werder Bremen;Hansa Rostock;3;0;H;0,5783417927599289;0,6226134224621585
260;D1;T00-01;2001-04-15;Unterhaching;Hansa Rostock;1;1;D;0,4577287925111218;0,6226134224621585
258;D1;T00-01;2001-04-14;Wolfsburg;Munich 1860;0;1;A;0,5947797776936483;0,6553163070449435
238;D1;T00-01;2001-03-31;Hertha;Munich 1860;3;0;H;0,6885958570737494;0,6553163070449435
292;D1;T00-01;2001-05-12;Hansa Rostock;Munich 1860;0;0;D;0,6226134224621585;0,6553163070449435
278;D1;T00-01;2001-04-29;Unterhaching;Munich 1860;3;2;H;0,4577287925111218;0,6553163070449435
270;D1;T00-01;2001-04-27;Wolfsburg;Dortmund;1;1;D;0,5947797776936483;0,6193264211605529
255;D1;T00-01;2001-04-14;Hertha;Dortmund;1;0;H;0,6885958570737494;0,6193264211605529
242;D1;T00-01;2001-04-01;Kaiserslautern;Dortmund;1;4;A;0,5718687197382751;0,6193264211605529
295;D1;T00-01;2001-05-12;Unterhaching;Dortmund;1;4;A;0,4577287925111218;0,6193264211605529
296;D1;T00-01;2001-05-12;Wolfsburg;Ein Frankfurt;3;0;H;0,5947797776936483;0,4908778261838908
236;D1;T00-01;2001-03-31;Freiburg;Ein Frankfurt;5;2;H;0,5365849278121719;0,4908778261838908
274;D1;T00-01;2001-04-28;Hertha;Ein Frankfurt;3;0;H;0,6885958570737494;0,4908778261838908
256;D1;T00-01;2001-04-14;Kaiserslautern;Ein Frankfurt;4;2;H;0,5718687197382751;0,4908778261838908
235;D1;T00-01;2001-03-31;Bayern Munich;Werder Bremen;2;3;A;0,6341837207386578;0,5783417927599289
276;D1;T00-01;2001-04-28;Stuttgart;Werder Bremen;2;1;H;0,5340957140883932;0,5783417927599289
254;D1;T00-01;2001-04-14;Bochum;Werder Bremen;1;2;A;0,2844906267717613;0,5783417927599289
288;D1;T00-01;2001-05-12;FC Koln;Werder Bremen;1;3;A;0,4744653566069795;0,5783417927599289
253;D1;T00-01;2001-04-14;Bayern Munich;Schalke 04;1;3;A;0,6341837207386578;0,5472809204015044
239;D1;T00-01;2001-03-31;Leverkusen;Schalke 04;0;3;A;0,6632751507568887;0,5472809204015044
294;D1;T00-01;2001-05-12;Stuttgart;Schalke 04;1;0;H;0,5340957140883932;0,5472809204015044
273;D1;T00-01;2001-04-28;Bochum;Schalke 04;1;1;D;0,2844906267717613;0,5472809204015044
272;D1;T00-01;2001-04-28;Bayern Munich;Freiburg;1;0;H;0,6341837207386578;0,5365849278121719
257;D1;T00-01;2001-04-14;Leverkusen;Freiburg;1;3;A;0,6632751507568887;0,5365849278121719
290;D1;T00-01;2001-05-12;Bochum;Freiburg;1;3;A;0,2844906267717613;0,5365849278121719
289;D1;T00-01;2001-05-12;Bayern Munich;Kaiserslautern;2;1;H;0,6341837207386578;0,5718687197382751
269;D1;T00-01;2001-04-22;Freiburg;Kaiserslautern;5;2;H;0,5365849278121719;0,5718687197382751
282;D1;T00-01;2001-05-05;Hamburg;Kaiserslautern;1;1;D;0,5774471309665701;0,5718687197382751
251;D1;T00-01;2001-04-08;Schalke 04;Kaiserslautern;5;1;H;0,5472809204015044;0,5718687197382751
248;D1;T00-01;2001-04-07;Freiburg;Hamburg;0;0;D;0,5365849278121719;0,5774471309665701
265;D1;T00-01;2001-04-21;Leverkusen;Hamburg;1;1;D;0,6632751507568887;0,5774471309665701
