matchId;rounds;top1_H;top2_H;top3_H;top4_H;top5_H;top6_H;top7_H;down1_H;down2_H;down3_H;down4_H;down5_H;top1_A;top2_A;top3_A;top4_A;top5_A;top6_A;top7_A;down1_A;down2_A;down3_A;down4_A;down5_A
9462;16,0;5,0;1,0;0,0;-1,0;-1,0;-2,0;-6,0;-18,0;-16,0;-16,0;-15,0;-13,0;21,0;17,0;16,0;15,0;15,0;14,0;10,0;-2,0;0,0;0,0;1,0;3,0
9463;15,5;15,0;11,0;10,0;9,0;9,0;8,0;4,0;-8,0;-6,0;-6,0;-5,0;-3,0;19,0;18,0;16,0;14,0;13,0;12,0;11,0;-1,0;-1,0;0,0;1,0;4,0
9464;16,0;20,0;16,0;15,0;14,0;14,0;13,0;9,0;-3,0;-1,0;-1,0;0,0;2,0;11,0;7,0;6,0;5,0;5,0;4,0;0,0;-12,0;-10,0;-10,0;-9,0;-7,0
9465;16,0;18,0;14,0;13,0;12,0;12,0;11,0;7,0;-5,0;-3,0;-3,0;-2,0;0,0;15,0;11,0;10,0;9,0;9,0;8,0;4,0;-8,0;-6,0;-6,0;-5,0;-3,0
9466;16,0;4,0;0,0;-1,0;-2,0;-2,0;-3,0;-7,0;-19,0;-17,0;-17,0;-16,0;-14,0;6,0;2,0;1,0;0,0;0,0;-1,0;-5,0;-17,0;-15,0;-15,0;-14,0;-12,0
9467;15,5;7,0;6,0;4,0;2,0;1,0;0,0;-1,0;-13,0;-13,0;-12,0;-11,0;-8,0;6,0;2,0;1,0;0,0;0,0;-1,0;-5,0;-17,0;-15,0;-15,0;-14,0;-12,0
9468;16,0;23,0;19,0;18,0;17,0;17,0;16,0;12,0;0,0;2,0;2,0;3,0;5,0;12,0;8,0;7,0;6,0;6,0;5,0;1,0;-11,0;-9,0;-9,0;-8,0;-6,0
9469;16,5;16,0;14,0;13,0;12,0;10,0;10,0;8,0;-6,0;-5,0;-5,0;-4,0;-2,0;7,0;3,0;2,0;1,0;1,0;0,0;-4,0;-16,0;-14,0;-14,0;-13,0;-11,0
9470;16,5;21,0;17,0;16,0;15,0;15,0;14,0;10,0;-2,0;0,0;0,0;1,0;3,0;11,0;9,0;8,0;7,0;5,0;5,0;3,0;-11,0;-10,0;-10,0;-9,0;-7,0
9471;17,0;12,0;10,0;9,0;8,0;6,0;6,0;4,0;-10,0;-9,0;-9,0;-8,0;-6,0;4,0;2,0;1,0;0,0;-2,0;-2,0;-4,0;-18,0;-17,0;-17,0;-16,0;-14,0
9472;17,0;6,0;4,0;3,0;2,0;0,0;0,0;-2,0;-16,0;-15,0;-15,0;-14,0;-12,0;2,0;0,0;-1,0;-2,0;-4,0;-4,0;-6,0;-20,0;-19,0;-19,0;-18,0;-16,0
