2024-02-09 18:42:58,026 - root - WARNING - leagues: ['esp', 'ing', 'ger', 'fra']
2024-02-09 18:42:58,028 - root - WARNING - seasons: ['1718']
2024-02-09 18:43:00,979 - root - INFO - Scrapping...
2024-02-09 18:43:00,981 - root - INFO - Saving cached data to F:\TFG\code\scrapping\cache
2024-02-09 18:43:06,814 - root - INFO - reading schedule...
2024-02-09 18:43:06,816 - root - DEBUG - Retrieving https://www.whoscored.com from cache
2024-02-09 18:43:06,824 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/252/Tournaments/2/England-Premier-League from cache
2024-02-09 18:43:06,844 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/206/Tournaments/4/Spain-LaLiga from cache
2024-02-09 18:43:06,862 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/74/Tournaments/22/France-Ligue-1 from cache
2024-02-09 18:43:06,882 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/81/Tournaments/3/Germany-Bundesliga from cache
2024-02-09 18:43:11,451 - root - INFO - Scraping game schedule from https://www.whoscored.com/Regions/206/Tournaments/4/Seasons/6960/Spain-LaLiga
2024-02-09 18:45:34,423 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:45:34,482 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:45:34,590 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:45:34,935 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:45:35,035 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:45:35,300 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:45:40,614 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:45:40,674 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:45:40,867 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:45:41,051 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:45:41,111 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:45:41,222 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:45:41,571 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:45:41,673 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:45:41,936 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:45:47,258 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:45:47,317 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:45:47,509 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:45:47,691 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:45:47,749 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:45:47,858 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:45:48,204 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:45:48,306 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:45:48,570 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:45:53,893 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:45:53,952 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:45:54,146 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:45:54,328 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:45:54,388 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:45:54,500 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:45:54,845 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:45:54,947 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:45:55,241 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:46:00,549 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:46:00,608 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:46:00,790 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:46:00,983 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:46:01,041 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:46:01,155 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:46:01,506 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:46:01,606 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:46:01,871 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:46:07,173 - root - INFO - Scraping game schedule for Friday, May 4 2018
